Year,Month,Temperature,Humidity,Rainfall,Wind Speed
1994,Mar,25.921,87.476,403.661,-0.952
1995,Mar,26.609,82.927,243.813,-1.016
1996,Mar,26.181,82.606,200.278,-1.819
1997,Mar,26.622,82.713,171.822,-1.707
1998,Mar,27.668,82.658,176.725,-1.787
1999,Mar,26.602,85.579,344.285,0.351
2000,Mar,26.675,84.051,249.8,-0.458
2001,Mar,26.77,84.024,227.626,0.284
2002,Mar,26.808,81.418,139.448,-1.545
2003,Mar,27.092,81.421,162.755,-1.51
2004,Mar,26.946,83.11,241.867,-1.213
2005,Mar,27.414,78.972,150.831,-2.042
2006,Mar,27.441,79.367,128.83,-0.722
2007,Mar,26.571,84.773,260.271,-0.061
2008,Mar,25.982,87.852,407.381,-0.948
2009,Mar,26.452,84.449,349.976,-0.063
2010,Mar,27.457,82.304,266.775,-1.195
2011,Mar,26.554,84.883,240.117,0.221
2012,Mar,26.644,84.412,287.766,0.512
2013,Mar,27.468,83.673,163.15,-1.002
2014,Mar,27.243,77.858,110.672,-1.911
2015,Mar,27.022,80.753,164.431,-1.666
2016,Mar,27.794,82.904,135.63,-2.041
2017,Mar,27.032,84.113,250.933,-0.823
2018,Mar,27.403,81.585,155.586,-1.293
2019,Mar,27.856,77.462,144.869,-1.206
2020,Mar,27.854,81.485,176.602,-1.593
2021,Mar,27.083,82.589,359.24,-1.22
2022,Mar,27.415,83.375,240.659,-0.553
1940,Apr,25.932,85.091,207.642,0.153
1941,Apr,26.328,86.585,194.121,1.034
1942,Apr,25.785,86.093,209.874,-0.425
1943,Apr,25.763,79.169,70.029,-1.106
1944,Apr,25.856,83.854,201.654,-0.186
1945,Apr,25.675,85.709,190.923,0.402
1946,Apr,25.76,86.412,243.976,0.343
1947,Apr,26.157,85.842,190.73,0.166
1948,Apr,26.634,81.816,100.956,-1.099
1949,Apr,27.245,67.972,1.009,-1.76
1950,Apr,26.334,86.139,208.135,0.182
1951,Apr,26.427,84.224,122.589,-1.17
1952,Apr,26.399,86.487,218.372,-0.717
1953,Apr,26.542,86.213,234.748,0.058
1954,Apr,26.142,87.808,324.779,1.403
1955,Apr,26.124,85.759,242.989,0.307
1956,Apr,26.361,85.36,232.709,0.908
1957,Apr,26.233,86.758,259.128,-0.25
1958,Apr,26.834,82.964,143.536,-0.884
1959,Apr,26.354,85.526,235.692,-0.019
1960,Apr,26.524,83.257,191.953,0.523
1961,Apr,26.644,83.35,199.83,0.114
1962,Apr,26.338,81.706,175.32,-0.32
1963,Apr,26.749,77.4,71.489,-2.369
1964,Apr,26.722,84.033,174.612,-0.819
1965,Apr,26.067,86.317,259.214,-0.379
1966,Apr,26.624,85.296,210.453,-0.368
1967,Apr,25.998,86.076,251.059,-0.164
1968,Apr,26.215,83.487,137.162,-1.035
1969,Apr,26.593,85.079,177.467,-0.866
1970,Apr,26.657,85.43,206.332,-0.405
1971,Apr,26.656,79.393,78.593,-1.21
1972,Apr,26.206,83.951,214.509,-0.452
1973,Apr,27.048,83.001,172.466,0.111
1974,Apr,26.497,82.537,184.506,-0.876
1975,Apr,26.561,83.447,236.078,-0.308
1976,Apr,26.361,81.554,209.08,-0.252
1977,Apr,26.662,82.162,118.189,-1.657
1978,Apr,26.671,81.141,156.456,-0.536
1979,Apr,26.799,85.499,265.416,-0.06
1980,Apr,26.714,85.52,242.817,-0.655
1981,Apr,26.557,86.063,239.083,-0.673
1982,Apr,26.416,85.814,248.891,0.026
1983,Apr,28.174,78.245,108.145,-1.615
1984,Apr,26.522,87.388,330.381,0.08
1985,Apr,26.785,85.553,172.809,0.43
1986,Apr,26.537,86.396,322.547,-0.359
1987,Apr,26.798,85.308,237.001,-0.812
1988,Apr,26.982,85.96,232.602,-0.535
1989,Apr,26.516,84.8,230.584,0.948
1990,Apr,27.28,84.328,251.788,-0.514
1991,Apr,26.798,84.993,263.077,0.083
1992,Apr,27.111,83.213,209.487,-0.47
1993,Apr,26.925,83.996,257.862,-0.221
1994,Apr,26.926,84.77,235.842,0.124
1995,Apr,26.788,84.769,258.398,-0.418
1996,Apr,26.848,84.209,284.346,0.07
1997,Apr,26.595,84.504,300.098,-0.623
1998,Apr,27.922,84.017,177.273,-1.604
1999,Apr,27.353,83.33,171.715,1.225
2000,Apr,26.924,84.38,268.893,0.318
2001,Apr,26.967,86.504,314.328,0.605
2002,Apr,27.237,83.249,203.006,-0.803
2003,Apr,27.09,84.197,313.855,-0.363
2004,Apr,27.633,80.84,205.71,-1.37
2005,Apr,27.52,82.181,191.03,-0.729
2006,Apr,27.109,82.368,299.304,0.332
2007,Apr,27.084,85.137,330.166,-0.137
2008,Apr,26.808,85.254,331.325,0.196
2009,Apr,27.446,84.54,183.969,0.499
2010,Apr,27.724,84.189,247.238,-0.455
2011,Apr,27.141,84.129,247.818,-0.409
2012,Apr,27.042,82.988,288.981,0.474
2013,Apr,27.735,84.824,240.714,0.547
2014,Apr,27.474,82.271,217.063,0.251
2015,Apr,27.333,83.911,269.043,-0.62
2016,Apr,28.272,82.97,245.715,-1.051
2017,Apr,27.43,85.152,329.308,0.803
2018,Apr,27.478,83.138,243.289,-0.989
2019,Apr,27.859,83.039,199.679,-0.649
2020,Apr,27.949,82.29,265.846,-1.203
2021,Apr,27.201,83.325,327.29,0.328
2022,Apr,27.404,83.951,223.781,0.129
1940,May,26.282,86.106,220.106,0.007
1941,May,26.235,87.041,336.366,0.113
1942,May,26.501,85.272,202.949,0.304
1943,May,26.428,82.702,143.449,-1.019
1944,May,25.845,86.588,227.493,-0.733
1945,May,26.159,86.516,178.215,0.556
1946,May,26.182,85.234,168.421,-0.401
1947,May,26.188,86.671,224.729,-0.29
1948,May,26.367,86.592,140.566,-0.316
1949,May,27.275,64.743,0.548,-1.445
1950,May,26.5,86.36,197.278,-0.012
1951,May,26.419,84.734,85.807,-0.831
1952,May,26.834,86.563,155.244,-0.271
1953,May,26.496,86.296,201.782,-0.04
1954,May,26.323,87.447,185.507,0.623
1955,May,26.938,83.668,169.422,0.884
1956,May,26.446,86.204,239.026,0.232
1957,May,26.265,88.147,299.17,0.117
1958,May,27.036,85.844,262.783,0.809
1959,May,26.768,86.453,226.54,-0.158
1960,May,27.058,83.351,172.568,-0.255
1961,May,27.087,82.165,167.468,0.282
1962,May,27.072,82.543,185.507,-0.266
1963,May,27.03,83.186,158.652,-0.704
1964,May,27.049,83.973,176.094,0.857
1965,May,26.518,85.731,205.189,0.288
1966,May,26.695,86.224,225.253,0.139
1967,May,26.464,85.775,285.206,-0.261
1968,May,26.595,84.897,180.908,0.611
1969,May,26.97,85.051,233.569,-0.447
1970,May,26.742,86.327,246.365,0.282
1971,May,26.688,83.479,190.296,0.264
1972,May,26.668,83.635,155.173,0.157
1973,May,26.984,82.148,176.881,0.02
1974,May,26.589,82.055,181.599,-0.242
1975,May,26.55,83.531,166.753,0.159
1976,May,26.492,83.469,151.265,-0.317
1977,May,26.766,82.393,177.691,-0.722
1978,May,27.093,83.949,162.131,-0.097
1979,May,27.17,82.889,134.18,0.419
1980,May,27.127,85.264,177.834,-0.633
1981,May,26.707,86.792,226.206,-0.21
1982,May,26.833,85.483,183.839,-0.091
1983,May,27.218,84.987,256.064,-0.324
1984,May,26.605,86.446,316.493,0.015
1985,May,26.926,85.999,226.778,-0.185
1986,May,27.139,84.643,201.543,-0.717
1987,May,26.861,85.591,234.832,-0.151
1988,May,27.542,85.796,234.999,-0.39
1989,May,26.962,85.492,259.114,0.091
1990,May,27.361,84.005,240.575,0.321
1991,May,26.667,87.849,309.94,-0.472
1992,May,26.987,85.159,259.185,0.442
1993,May,27.149,84.578,297.168,-0.113
1994,May,27.086,85.759,230.924,0.071
1995,May,27.413,84.484,229.566,-0.574
1996,May,27.257,84.814,180.55,-0.203
1997,May,27.495,83.338,153.981,-0.387
1998,May,28.189,85.264,256.874,-1.071
1999,May,27.024,84.387,248.176,0.104
2000,May,27.535,82.559,124.672,0.456
2001,May,27.524,84.601,202.282,-0.383
2002,May,27.711,83.614,186.627,-0.641
2003,May,27.88,82.101,140.566,-0.653
2004,May,27.783,81.043,161.082,0.142
2005,May,27.513,83.38,208.263,-0.079
2006,May,27.258,83.619,243.863,0.509
2007,May,27.355,84.856,255.444,-0.323
2008,May,27.3,83.71,171.829,-0.33
2009,May,27.788,83.199,160.772,0.488
2010,May,28.184,84.323,243.053,-0.134
2011,May,27.589,84.123,240.265,0.373
2012,May,27.458,82.95,214.411,0.515
2013,May,27.722,84.584,271.957,0.007
2014,May,27.773,85.188,312.824,0.012
2015,May,27.634,84.874,243.053,-0.47
2016,May,28.29,84.131,323.046,-0.019
2017,May,27.923,84.723,290.711,-0.075
2018,May,27.535,83.111,237.596,-0.668
2019,May,28.101,84.612,211.837,0.365
2020,May,28.147,85.022,270.528,-0.195
2021,May,27.665,84.895,315.302,-0.482
2022,May,28.101,81.322,185.34,0.014
1940,Jun,26.482,83.67,119.8,-0.695
1941,Jun,26.62,82.936,106.309,-0.539
1942,Jun,26.454,84.487,143.377,-0.095
1943,Jun,26.838,81.657,73.375,-1.279
1944,Jun,26.13,82.42,76.483,-1.25
1945,Jun,26.177,85.02,153.098,-0.492
1946,Jun,26.382,81.666,92.388,-1.157
1947,Jun,26.277,83.832,207.393,-0.855
1948,Jun,26.221,86.519,180.08,-0.86
1949,Jun,26.793,74.509,28.107,-0.845
1950,Jun,26.408,86.083,208.584,0.079
1951,Jun,26.408,83.476,87.428,-0.898
1952,Jun,26.506,84.862,100.192,-0.235
1953,Jun,26.491,86.799,161.596,-0.921
1954,Jun,26.299,85.849,234.376,0.265
1955,Jun,26.585,82.736,141.426,0.182
1956,Jun,26.386,83.117,122.346,0.163
1957,Jun,26.7,83.181,148.866,-0.491
1958,Jun,26.993,84.926,116.89,-0.348
1959,Jun,26.522,85.584,227.729,-0.057
1960,Jun,26.595,81.697,120.428,-0.667
1961,Jun,26.525,80.07,121.123,0.284
1962,Jun,26.48,81.567,144.369,-0.004
1963,Jun,26.754,80.652,96.257,-0.904
1964,Jun,26.449,83.043,133.622,-0.506
1965,Jun,26.468,84.358,137.722,-0.227
1966,Jun,26.246,84.357,180.312,-0.497
1967,Jun,26.277,84.674,137.59,-0.355
1968,Jun,26.579,85.081,204.484,-0.116
1969,Jun,26.721,84.836,170.028,-0.088
1970,Jun,26.818,83.713,165.234,-0.435
1971,Jun,26.435,83.053,138.979,-0.006
1972,Jun,26.502,83.029,140.963,-1.045
1973,Jun,26.891,83.635,144.369,-0.029
1974,Jun,26.319,82.281,161.762,-0.678
1975,Jun,26.507,81.709,123.669,-0.859
1976,Jun,26.163,83.12,140.731,-0.648
1977,Jun,26.659,83.54,146.452,-0.269
1978,Jun,26.886,80.923,131.241,0.195
1979,Jun,26.821,84.756,201.144,-0.049
1980,Jun,27.02,84.628,155.876,-0.459
1981,Jun,26.976,83.834,83.89,-0.243
1982,Jun,26.951,83.273,94.008,-0.987
1983,Jun,27.126,84.237,148.7,-0.526
1984,Jun,26.73,85.893,172.178,-0.096
1985,Jun,26.966,80.908,72.151,0.555
1986,Jun,26.846,84.909,169.863,-0.118
1987,Jun,27.496,83.442,173.037,-0.578
1988,Jun,27.072,83.98,193.572,-0.338
1989,Jun,26.937,82.217,169.102,0.226
1990,Jun,27.232,82.759,155.115,0.244
1991,Jun,27.422,82.287,161.993,-1.018
